,0
Unnamed: 0,144749
Name,ÅÃ¤hruddin MÃ¤hÃ¤mmÃ¤dÃ¤liyev
Position,"WB/M/AM (RL), ST (C)"
Club,ÅtiinÅ£a Miroslava
Division,Zimbabwean Premier Division
Based,Zimbabwe (Premier Division)
Nation,ZIM
Height,208
Weight,120
Age,53
Preferred Foot,Right Only
Best Pos,WB (R)
Best Role,WTM
Value,91000000
Wage,1200000
CA,195
PA,200
Wor,20
Vis,20
Thr,20
Tec,20
Tea,20
Tck,20
Str,20
Sta,20
TRO,20
Ref,20
Pun,20
Pos,20
Pen,20
Pas,20
Pac,20
1v1,18
OtB,20
Nat,20
Mar,19
L Th,20
Lon,20
Ldr,20
Kic,20
Jum,20
Hea,20
Han,19
Fre,20
Fla,20
Fir,20
Fin,20
Ecc,20
Dri,20
Det,20
Dec,20
Cro,20
Cor,20
Cnt,19
Cmp,20
Com,20
Cmd,20
Bra,20
Bal,20
Ant,20
Agi,20
Agg,20
Aer,20
Acc,20
